Column1;PosicionCancion;NombreCancion;CantanteCancion;SemanaenLista
164;64;Woo Baby;Pop Smoke Featuring Chris Brown;1
165;65;We Didn't Have Much;Justin Moore;5
166;66;Country Again;Thomas Rhett;12
167;67;Essence;Wizkid Featuring Tems;3
168;68;Favorite Crime;Olivia Rodrigo;9
169;69;my.life;J. Cole, 21 Savage & Morray;10
170;70;Memory;Kane Brown X blackbear;2
171;71;Mr. Jones;Pop Smoke Featuring Future;1
172;72;Straightenin;Migos;10
173;73;AM;Nio Garcia X J Balvin X Bad Bunny;4
174;74;Ski;Young Thug & Gunna;14
175;75;NDA;Billie Eilish;2
176;76;Happier;Olivia Rodrigo;9
177;77;Tombstone;Rod Wave;17
178;78;A-O-K;Tai Verdes;3
179;79;Red Light Green Light;DaBaby;4
180;80;More Time;Pop Smoke;1
181;81;Hats Off;Lil Baby, Lil Durk & Travis Scott;7
182;82;Manslaughter;Pop Smoke Featuring Rick Ross & The-Dream;1
183;83;Minimum Wage;Blake Shelton;11
184;84;Come Through;H.E.R. Featuring Chris Brown;7
185;85;Fiel;Los Legendarios, Wisin & Jhay Cortez;6
186;86;Demeanor;Pop Smoke Featuring Dua Lipa;1
187;87;2055;Sleepy Hallow;1
188;88;Brutal;Olivia Rodrigo;9
189;89;Love Again;Dua Lipa;1
190;90;I Was On A Boat That Day;Old Dominion;3
191;91;WUSYANAME;Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign;4
192;92;transparentsoul;Willow Featuring Travis Barker;6
193;93;Am I The Only One;Aaron Lewis;2
194;94;Twerkulator;City Girls;7
195;95;My Boy;Elvie Shane;4
196;96;Build A Bitch;Bella Poarch;10
197;97;30;Pop Smoke Featuring Bizzy Banks;1
198;98;You Should Probably Leave;Chris Stapleton;3
199;99;Jealousy, Jealousy;Olivia Rodrigo;9
200;100;Cold Beer Calling My Name;Jameson Rodgers Featuring Luke Combs;3
